№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
695|6868|5300513743|м. Львів, автодорога Скнилів-Басівка, 2км + 500м|Львів|FLM-5;SLM-5 APPEAL.. 14.01.2019 Відсутнє заземлення.||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Львівська||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Транс-Сервіс-1|1
696|6884|5300513535|м. Київ, пр. Маяковського, 63/12 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Деснянське|0
697|7020|5300552114|с. Пальчиківка, вул. Леніна, 6|Пальчиківка|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект 050 729 11 93 менеджер Лариса|Полтавська|10.03.2016|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Сільськогосподарський кооператив Злагода|1
698|7025|5300219685|м. Харків, вул. Академіка Проскури, 1|Харків|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська|06.07.2017|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ПАТ Хартон|1
699|7060|5300513629|м. Київ, пр. Степана Бандери, 9 (2-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|097 71 50 772 Савіч Іван Юрійовий|Київська||0|0|0|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Куренівське|1
700|7062|5300317342|м. Кам'янське, пр. Свободи, 3 (2-й АТМ)|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Дніпропетровська|20.09.2017|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Дніпровський металургійний комбінат|0
701|7064|5300513656|м. Мелітополь, вул. Героїв України, 40 (2-й АТМ)|Мелітополь|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|098 381 55 58 зав. каси  Наталія|Запорізька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Мелітопольське №1|1
702|7065|5300533191|м. Кам'янське, пр. Свободи, 3 (3-й АТМ)|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Дніпропетровська|20.09.2017|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Дніпровський металургійний комбінат|0
703|7066|5300237102|с. Мартусівка, вул. Бориспільська, 27|Мартусівка|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|БФ Завод|1
704|7067|5300513575|м. Хуст, вул. Добрянського, 1/53 (1-й АТМ)|Хуст|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Закарпатська||0|0|0|1|УСБ ВТ,ЧТ|Реноме-смарт 6|Реноме-смарт 10|Відділення Хустське|1
705|7071|5300552577|м. Вугледар, вул. Трифонова, 8А (1-й АТМ)|Вугледар|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|067 248 58 43 керівник відділення Ірина|Донецька||0|0|0|1|Пумб|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Вугледарське|1
706|7088|5300237062|м. Київ, Столичне шосе, 70|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|096 737 50 08|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №12 А-Клуб|1
707|7092|5300173222|м. Кам'янське, вул. Соборна, 18Б|Кам'янське|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Expert Solutions|Дніпропетровська|20.09.2017|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ Дніпровський металургійний комбінат|0
708|7093|5300513545|м. Івано-Франківськ, вул. Незалежності, 67 (2-й АТМ)|Івано-Франківськ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|066 390 54 85 контролер Ірина,  067 275 27 89|Івано-Франківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Івано-Франківське|0
709|7094|5300513533|м. Бровари, бул. Незалежності, 2 (2-й АТМ)|Бровари|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 230 38 08 директор відділення Ольга Славівна, 063 291 98 19|Київська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Броварське|1
710|7095|5300521680|м. Київ, вул. Берковецька, 6В (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект 067 248 58 05 директор відділення Ольга Василівна|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|0
711|7096|5300513590|м. Рівне, вул. Княгині Ольги, 1 (3-й АТМ)|Рівне|FLM-7;SLM-5||ALFA|ProCash 2100|WINCOR|098 221 10 82 зав. каси Оксана, 097 991 19 36 контролер Тетяна|Рівненська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Рівненське|0
712|7098|5300513619|м. Тернопіль, вул. Медова, 18 (2-й АТМ)|Тернопіль|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|097 542 91 15, 098 578 17 22|Тернопільська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Тернопільське|0
713|8329|5300379066|м. Кременчук, вул. Соборна, 8/18 (2-й АТМ)|Кременчук|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|096 264 28 82 контролер Ірина, 093 973 41 62 зав.  каси Алла|Полтавська||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Кременчуцьке|1
714|8352|5300533834|м. Київ, вул. Дорогожицька, 1|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська|20.10.2016|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 4|Фокстрот|0
715|8367|5300272213|м. Київ, вул. Ділова, 3 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|ProCash 3000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Головний офіс Альфи|1
716|8372|5300601536|м. Львів, вул. Наукова, 30 (2-й АТМ)|Львів|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|067 248 59 67 директор відділення Мирослава Ігорівна, 097 299 04 04|Львівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Львівське №5|1
717|8374|5300380105|м. Кам'янець-Подільський, вул. Лесі Українки, 31 (2-й АТМ)|Кам'янець-Подільський|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|067 812 24 12 контроллер відділення Тамар Носко, 067 700 31 51|Хмельницька||0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Кам'янець-Подільське|1
718|8384|5310096556|м. Київ, пр. Соборності, 1 (2-й АТМ)|Київ|FLM-7;SLM-5 На вихідних відсутній доступ. Не переданий засіб для ззняття сигналізації.||ALFA|Wincor Cineo C4060 FL|WINCOR|067 468 88 83 директор відділення Алла Миколаївна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №31|0
719|8385|5310096599|м. Київ, вул. Маршала Тимошенка, 21 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 60 94 Гірка Дар'я Олександрівна, 063 123 97 90|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №18|0
720|8386|5310096424|м. Київ, пр. Перемоги, 106/2 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 61 86 зав.  відділення, 050 244 35 52, 093 378 17 41|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Святошинське|0
721|8387|5310096518|м. Київ, пр. Степана Бандери, 9 (1-й АТМ)|Київ|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|097 715 07 72 директор відділення Іван Юрійович, 068 013 21 52 зав.каси|Київська||0|0|0|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Куренівське|0
722|8388|5310096473|м. Львів, пл. Ринок, 26 (1-й АТМ)|Львів|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 777 84 85 зав. каси Лариса Іванівна|Львівська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Львівське А-Клуб|0
723|8389|5310102350|м. Київ, вул. Велика Васильківська, 28 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 66 25 директор відділення Юлія Володимирівна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №6|0
724|8401|5310102992|м. Львів, пл. Ринок, 26 (2-й АТМ)|Львів|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 777 84 85 зав. каси Лариса Іванівна|Львівська||0|0|0|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Львівське А-Клуб|0
725|8402|5310096647|м. Київ, вул. Хрещатик, 14 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 4|Відділення Київське №4|0
726|8406|5310102327|м. Київ, вул. Саксаганського, 119|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення УСБ (ТЦ Епіцентр)|0
727|8783|5310102304|м. Одеса, вул. Академіка Глушка, 7/9 (1-й АТМ)|Одеса|FLM-7;SLM-5 ACCESS.. 09.02.2019 Відсутній доступ, непереданий ключ.||ALFA|Wincor Cineo C4060 FL|WINCOR||Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Південне|0
728|8784|5310102315|м. Одеса, вул. Катерининська, 11 (1-й АТМ)|Одеса|FLM-7;SLM-5 Відділення по інкасаціях! (забір касет, діагностка, узгодження інкасацій тощо) Олена||ALFA|Wincor Cineo C4060 FL|WINCOR|067 939 26 37 зав.  каси Олена 093 004 79 33|Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське|0
729|8785|5310102347|м. Київ, вул. Хрещатик, 14 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 230 15 70 директор відділення Лариса Воложимирівна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 4|Відділення Київське №4|0
730|8786|5310102279|м. Дніпро, пр. Слобожанський, 40А (1-й АТМ)|Дніпро|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 59 33 директор Євгеній Костянтинович, 096 604 49 90|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Дніпровське №4|0
731|8787|5310102299|м. Миколаїв, вул. Шевченка, 59А (2-й АТМ)|Миколаїв|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 537 91 60 директор відділення Сергій Михайлович, 067 959 66 61|Миколаївська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Миколаївське №1|0
732|8788|5310102387|м. Полтава, вул. В'ячеслава Чорновола, 19 (1-й АТМ)|Полтава|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 231 48 77 директор відділення Олег Дмитрович, 097 511 86 03 Ольга, 050 729 11 93|Полтавська||0|0|0|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Полтавське|0
733|8789|5310102287|м. Харків, вул. Академіка Павлова, 165В (2-й АТМ)|Харків|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 63 37 директор відділеня Ольга Сергіївна|Харківська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Харківське №2|0
734|8790|5310102336|м. Одеса, вул. Малиновського, 71 (1-й АТМ)|Одеса|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 58 22 директор відділення Сергій Петрович, 067 775 49 37|Одеська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Одеське №1|0
735|8791|5310102261|м. Кривий Ріг, пр. Металургів, 21А (1-й АТМ)|Кривий Ріг|FLM-5;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 57 54 директор відділеня Андрій Олександрович, 066 540 57 50 Євгенія|Дніпропетровська||0|0|0|1|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Криворізьке №1|0
736|8792|5310102264|м. Рівне, вул. Княгині Ольги, 1 (1-й АТМ)|Рівне|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|098 221 10 82 зав. каси Оксана, 098 170 97 79|Рівненська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Рівненське|0
737|8793|5310102398|м. Київ, вул. Княжий Затон, 2/30|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 51 37 директор відділення Поліна Сергіївна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №3|0
738|8794|5310102381|м. Київ, пр. Бажана, 36А|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR||Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №8|0
739|8795|5310102357|м. Ужгород, вул. Швабська, 36 (2-й АТМ)|Ужгород|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 59 92 директор відділення, 095 623 85 95 Вероніка|Закарпатська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Ужгородське|0
740|8796|5310102310|м. Київ, вул. Спаська, 5 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 694 57 44 директор відділення Максим Олександрович, 093 981 45 80|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №17|0
741|8797|5310102375|м. Київ, вул. Раїси Окіпної, 4А|Київ|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|067 248 55 76 директор відділення Катерина Андріївна|Київська||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Київське №1|0
742|8798|5310102396|м. Вінниця, вул. Привокзальна, 2/1 (1-й АТМ)|Вінниця|FLM-7;SLM-5||ALFA|Wincor Cineo C4060 FL|WINCOR|097 340 29 44 Оксана|Вінницька||0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Вінницьке|0
743|9801|5300207404|м. Торецьк, вул. Терешкової, 5В|Торецьк|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька|04.12.2017|0|0|1|1|УСБ Краматорск ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Продукти|1
744|9806|13-41353554|м. Новогродівка, вул. 40 років Жовтня, 46|Новогродівка|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|Магазин Росія|1
745|9810|13-41353508|м. Київ, вул. Баренбойма, 1|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Приватне акціонерне товариство УГМК|1
746|9812|13-41353869|м. Черкаси, пр. Хіміків, 76|Черкаси|FLM-5;SLM-5  ACCESS 12.03.2019 Доступ до АТМ надає Швыдченко Елена 0673266489(телефонувати за півгодини до виїзду)||ALFA|PersonaS 77|NCR|Link: Радіоконект 063 428 09 50 менеджер ЗП|Черкаська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Черкаське хімволокно|0
747|9815|13-40288765|м. Одеса, вул. Коблевская, 39|Одеса|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 939 26 37  зав. каси Олена Миколаївна, 091 114 88 65  Сивак Руслан Васильевич|Одеська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Укртелеком|1
748|9816|13-40823296|м. Новогродівка, вул. Шахтна, 1 (2-й АТМ)|Новогродівка|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Шахта 1 Новогродівська|1
749|9820|13-41376391|м. Селидове, вул. Карла Маркса, 10 (2-й АТМ)|Селидове|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|067 248 58 40 директор відділення Світлана Миколаївна|Донецька||0|0|0|1|УСБ|PRINTEC 8|PRINTEC 12|Відділення Селидове|1
750|9822|13-41353530|м. Миколаїв, вул. Адміральська, 27/3|Миколаїв|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 066 643 32 45  зав.  каси Галина Владиславівна, 091 114 30 01 Лідія Григоріївна|Миколаївська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Укртелеком|1
751|9823|13-41353560|м. Херсон, вул. Белінського, 9/38|Херсон|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 066 839 59 98 зав. каси Катерина Анатоліївна|Херсонська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Укртелеком|1
752|9825|13-41353513|м. Київ, пр. Соборності, 1 (3-й АТМ)|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|067 468 88 83 директор відділення Алла Миколаївна|Київська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Київське №31|1
753|9826|5300255230|м. Київ, вул. Кришталева, 6|Київ|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
754|9827|13-40821780|м. Харків, вул. Хабарова, 1|Харків|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Харківська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Хладопром|1
755|9829|13-41353562|м. Українськ, вул. Жовтнева, 1 (2-й АТМ)|Українськ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|ДП Селидіввугілля (Магазин)|1
756|9832|13-40823304|м. Ходорів, вул. Шевченка, 132|Ходорів|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 097 299 04 04 зав. каси Леся Антонівна|Львівська||0|0|1|0|УСБ СР|PRINTEC 8|PRINTEC 12|ТЗОВ Вінал Агро|1
757|9833|13-41353282|м. Київ, вул. Гната Хоткевича, 20 (1-й АТМ)|Київ|FLM-7;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 618 92 31 менеджер ЗП Станіслав 050 44 25 480|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ТОВ Євро-Реконструкція|0
758|9834|13-41353567|м. Вугледар, вул. Південнодонбаська, 1|Вугледар|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|Пумб|PRINTEC 8|PRINTEC 12|Шахта Південнодонбаська №1|1
759|9837|13-40823295|м. Київ, пр. Перемоги, 37К|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|НТУУ КПІ (7 корпус)|1
760|9838|5300357107|м. Торецьк, вул. Історична, 5|Торецьк|FLM-5;SLM-5||ALFA|Procash 2050|WINCOR|Link: Радіоконект|Донецька|27.01.2018|0|0|1|1|УСБ Краматорск ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ТорецькВугілля (Магазин в будівлі шахти)|1
761|9840|13-41353523|м. Чернігів, вул. Ушинського, 23|Чернігів|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Чернігівська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Чернігівська ТЕЦ|0
762|9842|13-41353528|м. Краматорськ, завод Енергомашспецсталь (3-й АТМ)|Краматорськ|FLM-5;SLM-5 APPEAL.Відсутній Х4-агент.||ALFA|PersonaS 77|NCR|Link: Радіоконект 050 109 63 58 зав.  каси по Краматорську Тетяна|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Завод Енергомашспецсталь|1
763|9843|13-41353510|м. Гірник, вул. Терриконна, 1|Гірник|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Донецька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Шахта Курахівська|1
764|9845|13-40821779|м. Суми, вул. Друга Залізнична, 10|Суми|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 095 183 24 73 зав.каси Інна|Сумська||0|0|1|0|Укргаз|PRINTEC 4|PRINTEC 8|Сумитеплоенерго|0
765|9850|13-41353516|м. Новогродівка, вул. Степова, 1 (1-й АТМ)|Новогродівка|FLM-5;SLM-5 Немає файлового обміну (Не можемо зайти на диск С та опитати екран)||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 248 61 98 зав. каси Олена (Селідово), 050 98 550 22|Донецька||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 12|ГП Селидіввугілля|1
766|9851|5300265156|м. Харків, пр. Ілліча, 118|Харків|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Харківська|27.02.2018|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Харківський завод підйомно-транспортного устаткування|0
767|9853|13-40681841|м. Київ, вул. Василенка, 5|Київ|FLM-7;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Київгаз|1
768|9854|13-40823299|м. Краматорськ, вул. Паркова, 18|Краматорськ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 050 109 63 58 зав.  каси по Краматорську Тетяна|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|ТЦ Аврора|1
769|9855|5300302682|м. Торецьк, вул. Маяковського, 23|Торецьк|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька|04.12.2017|0|0|1|1|УСБ Краматорск ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Континент|1
770|9856|5300205758|м. Торецьк, пл. Базарна|Торецьк|FLM-5;SLM-5 ACCESS.Обмежений доступ до АТМ. Працює ВТ-НД з 8 до 13||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Донецька|04.12.2017|0|0|1|1|УСБ Краматорск ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Критий ринок|1
771|9857|5300266395|м. Торецьк, вул. Дружби, 26А (1-й АТМ)|Торецьк|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR|050 809 15 34 зав. каси Сороченко Наталія, 095 317 09 58|Донецька|04.12.2017|0|0|0|1|УСБ Краматорск ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Торецьке|1
772|9859|13-41353526|м. Київ, вул. Червонопрапорна, 34|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ПАТ Корчуватський комбінат будівельних матеріалів|1
773|9861|13-41353524|м. Київ, пров. Красноармійський, 18|Київ|FLM-7;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Київгаз|1
774|9864|13-41353531|м. Чернівці, вул. Небесної Сотні, 22 (2-й АТМ)|Чернівці|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|067 576 57 63|Чернівецька||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Чернівецьке|1
775|9868|13-41353509|смт. Берестове, вул. Шкільна, 32|Берестове|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ ВТ|PRINTEC 8|PRINTEC 12|Берестівська сільська рада|1
776|9870|13-40681833|м. Селидове, вул. Карла Маркса, 1|Селидове|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 067 248 58 40 директор відділення Світлана Миколаївна, каса краматорськ 098 023 33 79|Донецька||0|0|1|1|Пумб|PRINTEC 8|PRINTEC 12|Магазин Селидівський|0
777|9872|5300291029|смт. Якимівка, вул. Центральна, 30|Якимівка|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект 067 737 65 25 оператор відділення Людмила Старик|Запорізька||0|0|1|1|УСБ ВТ|Реноме-Смарт 6|Реноме-Смарт 10|Якимівська центральна районна лікарня|1
778|9874|5300357149|м. Харків, вул. Достоєвського, 3|Харків|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект 067 248 55 24 менеджер ЗП Тетяна|Харківська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ПАТ Новий стиль|1
779|9875|13-41353569|м. Київ, пр. Правди, 85|Київ|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Київспецтранс|1
780|9876|13-40681832|м. Київ, вул. Білицька, 45|Київ|FLM-7;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Київгаз|1
781|9877|13-40829392|м. Харків, вул. Героїв Праці, 24А (2-й АТМ)|Харків|FLM-5;SLM-5||ALFA|PersonaS 87|NCR||Харківська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Салтовське|1
782|9879|08-37937384|с. Ільниця, вул. Радянська, 73/5|Ільниця|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|Link: Радіоконект 050 271 06 06, 068 426 99 87|Закарпатська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|ТОВ К'Лен|1
783|9881|13-41353293|м. Каховка, вул. Першотравнева, 79|Каховка|FLM-5;SLM-5 Режимний об'єкт, виїзд узгоджувати з 0672485659||ALFA|PersonaS 77|NCR|Link: Радіоконект 098 524 79 81 менеджер ЗП Анна|Херсонська||0|0|1|0|ОщадБанк|PRINTEC 8|PRINTEC 12|ТОВ Енерджи Продакт|1
784|9882|13-41353292|м. Ужгород, вул. Швабська, 36 (3-й АТМ)|Ужгород|FLM-5;SLM-5||ALFA|PersonaS 77|NCR|067 248 59 91 директор відділення Наталя Ігорівна, 095 623 85 95 Вероніка|Закарпатська||0|0|0|1|УСБ|PRINTEC 4|PRINTEC 8|Відділення Ужгородське|1
